match_id,match_seq_num,patch,region,start_time,duration,game_mode,skill,first_blood_time,barracks_status_dire,barracks_status_radiant,tower_status_dire,tower_status_radiant,dire_score,radiant_score,radiant_win
5251287129,4407332036,43,13.0,1582168402,1877,2,,98,63,60,1828,304,15,13,False
8231864395,6917349643,57,3.0,1743121969,1983,2,,441,60,63,1824,1852,16,26,True
7088392290,5953242892,51,2.0,1680404929,2559,2,,0,63,3,1844,1540,35,17,False
8462551127,7108145399,58,3.0,1757916282,1401,2,,195,63,63,1798,1983,11,25,True
6204442718,5188986688,49,3.0,1633102914,1874,2,,135,0,63,1536,1975,28,57,True
5501372492,4612363107,46,13.0,1594022942,2431,2,,97,63,63,1956,1846,12,29,True
6686787679,5592746347,50,3.0,1659292913,2165,2,,0,63,48,2022,1792,47,28,False
7704430692,6486047052,54,8.0,1714056714,2769,2,,33,51,0,768,0,37,42,False
4766845030,4018270662,40,3.0,1558286396,2356,2,,126,63,63,1056,1983,26,42,True
8135919719,6839919350,56,5.0,1737276582,2203,2,,198,63,0,2046,0,44,21,False
3821029485,3318726628,31,5.0,1523111715,1604,2,,0,63,0,2038,1536,31,9,False
8509737066,7147669287,58,3.0,1760370818,3065,2,,118,48,31,768,1572,25,40,True
8147454075,6849130165,56,3.0,1737941358,1540,2,,311,63,3,1974,1543,42,18,False
3251652729,2840842059,25,1.0,1497568021,1411,2,,12,59,63,1988,1855,6,27,True
7570212987,6374984115,54,3.0,1707108520,1859,2,,99,63,3,1956,1540,31,25,False
7553960075,6360555418,54,8.0,1706193928,3018,2,,8,63,48,1974,768,57,22,False
4009248895,3478887640,37,3.0,1531766514,2345,2,,101,63,63,1956,1846,13,35,True
6922193006,5804558386,51,5.0,1671257338,1619,2,,73,63,51,1982,1540,25,16,False
4929898625,4136222668,41,1.0,1564251071,2245,2,,118,63,0,1844,0,22,15,False
8585758873,7210510859,58,3.0,1764607297,1551,2,,32,63,51,1974,1540,40,22,False
3293595807,2876162452,25,12.0,1499226965,2805,2,,365,0,63,1536,1796,22,16,True
3276294301,2861826644,25,10.0,1498521678,2030,2,,318,60,63,1792,1854,13,32,True
5227169931,4386194144,43,10.0,1580873130,1439,2,,17,63,63,1828,1983,17,42,True
5625628844,4725751091,46,13.0,1600763436,1267,2,,53,63,63,1990,1846,21,38,True
7283427481,6127344157,53,3.0,1691937061,1772,2,,111,63,63,1920,1847,25,38,True
6528977058,5453349487,50,3.0,1650199591,1439,2,,30,63,63,2038,1828,29,16,False
3276818595,2862277328,25,8.0,1498550491,2325,2,,93,48,63,1920,1846,22,30,True
7659866287,6447419799,54,3.0,1711675443,1626,2,,4,49,63,1984,1847,15,20,True
5153769645,4324398300,42,13.0,1576296475,2181,2,,34,63,48,2020,1280,41,27,False
5462050993,4577845709,45,8.0,1591700445,1449,2,,195,51,63,260,2047,11,34,True
5773478066,4860762045,47,8.0,1609864094,1156,2,,45,0,63,0,2047,14,43,True
7196920003,6049869518,52,3.0,1686559505,1595,2,,107,63,63,1798,2047,20,41,True
8166328509,6864524066,56,5.0,1739097557,2331,2,,319,63,0,2047,0,40,6,False
8327809211,6995935509,58,5.0,1749474664,1831,2,,113,0,63,0,1983,18,34,True
7918340293,6662159937,56,3.0,1724870245,1688,2,,312,59,63,1924,1975,8,20,True
7329040578,6168358452,53,3.0,1694365640,1885,2,,0,63,0,1972,1536,32,28,False
4126165174,3576163188,38,3.0,1537361250,2045,2,,139,0,63,0,1855,9,27,True
6565677254,5485568438,50,3.0,1652284700,2811,2,,273,63,51,1972,1542,42,15,False
5485643963,4598479092,45,13.0,1593064930,1609,2,,8,60,3,1968,518,42,34,False
2356168901,2063355862,17,8.0,1462988581,2804,2,,214,0,63,0,1983,17,37,True
6173509835,5164892151,49,3.0,1631215590,1729,2,,126,63,51,2038,1924,42,26,False
